name,artist,vibes,tempo,loudness,energy,danceability,key,mode,duration
Believe In What I Say,Cookies,cantonese pop chinese music rap hip hop female vocalist chinese female pop german guitar,125.97,-5.58,0.0,0.0,6,0,193.7
Rancho Moreno,Mar Azul,charanga cumbia los angeles chorus rumba disco latin mexico tropical,147.0,-3.52,0.0,0.0,7,1,165.1
When Rules Change,Life In Your Way,melodic hardcore emo post-hardcore happy hardcore melodic metalcore christian hardcore christian metal southern rock metalcore christian rock,90.36,-4.62,0.0,0.0,5,1,198.1
Mykel And Carli,Weezer,pop rock rock pop alternative indie punk pop modern rock new wave alternative rock rap,104.11,-6.09,0.0,0.0,6,1,172.1
Hold On,22-20s,blues-rock rock 'n roll british invasion garage rock rockabilly grunge blues indie rock rock alternative rock,133.32,-6.81,0.0,0.0,6,0,317.5
She's Got A Brain (Leli / Zimmerman),Cutting Edge,grunge progressive metal new wave progressive rock hip hop rap alternative rock rock 80s punk,120.02,-9.8,0.0,0.0,4,1,256.3
Milkman_ Keep Those Bottles Quiet,The King Sisters,calypso space age pop jazz reggae chill-out female vocalist swing big band lounge american,75.47,-14.71,0.0,0.0,3,0,129.4
Glisse,Fred Merpol,french pop,151.97,-21.06,0.0,0.0,9,0,117.1
Psalm 27,Wilks,hip hop easy listening reggae jungle music breakbeat jazz dub downtempo electronic rasta,85.98,-6.5,0.0,0.0,4,0,164.0
Kan Hai De Ri Zi,Hacken Lee,cantonese pop chinese music easy listening male vocalist chinese pop vocal cpop hong kong cantonese,138.03,-9.61,0.0,0.0,3,1,222.0
Ela Edo Kardia Mou,Irini Merkouri,pop folk modern laika greek singer,155.98,-6.25,0.0,0.0,3,0,228.3
Laakista humppa,Elakelaiset,parody german pop rock humppa blues jazz polka folk rock psychobilly electronic,116.34,-2.42,0.0,0.0,9,0,67.3
The Urban Gospel,Shade Sheist / N.U.N.E. / King Arthur,uk garage hip hop gangster rap california rap electronic gangsta united states hardcore rap west coast rap,89.91,-7.67,0.0,0.0,11,0,262.3
Rumour (Abstract Hip Hop Mix),bel canto,trip hop downtempo electronic alternative dance dream pop synthpop dark ambient dub dark wave pop rap,106.94,-17.8,0.0,0.0,7,1,78.5
Coral Fang (Album Version),The Distillers,grunge punk rock california street punk alternative pop rock punk revival hardcore punk guitar alternative,95.08,-3.7,0.0,0.0,9,0,129.6
The Second One,Remy Shand,neo soul blue-eyed soul hip hop vocal jazz progressive house chill-out blues-rock country rock future jazz ballad,177.96,-6.19,0.0,0.0,10,0,250.8
He Don't Care (He's Stoned),Dan Hicks,country rock western swing gypsy jazz singer-songwriter swing country punk string soundtrack california,72.36,-32.53,0.0,0.0,0,1,159.9
18 De Noviembre,Maracaibo 15,gaita progressive house electronic venezuela united states american latin singer group international,181.0,-8.0,0.0,0.0,2,1,172.0
Rich Girl,Daryl Hall & John Oates,pop rock blue-eyed soul soft rock folk rock pop singer-songwriter soul psychedelic philadelphia ballad,178.82,-5.75,0.0,0.0,10,1,216.3
See What Tomorrow Brings,Arc Angels,blues-rock southern rock hard rock slide blues rock indie rock texas guitar album rock,125.79,-10.12,0.0,0.0,8,1,386.8
One More Time (Kennedy Center Homecoming Version),The Katinas,ccm r&b christian rock gospel contemporary christian christian blues worship music male vocalist pop,80.94,-10.6,0.0,0.0,0,0,159.3
Tango,Charly Garcia,pop rock rock 'n roll blues-rock tango piano rock argentine rock psychedelic rock ballad art rock folk rock,126.95,-10.26,0.0,0.0,7,0,162.7
Los Tres Glopes / The Three Beats (danza),Cachao,latin jazz salsa tex mex mambo charanga afrobeat soul jazz rumba improvisational neo soul,81.24,-17.35,0.0,0.0,7,1,84.9
I'm Your Money (12'' Extended Version) (2006 Digital Remaster),Heaven 17,new romantic dance rock italian disco new wave electronic electro disco progressive house pop rock europop,122.27,-9.8,0.0,0.0,7,1,311.4
When It Stings,Pictures of Then,experimental rock rock alternative rock indie rock college rock minnesota up beat british pop minneapolis sound ballad,163.96,-6.87,0.0,0.0,4,1,182.8
Fields Of Athenry,The Shamrock Singers,irish folk folk rock downtempo rock irish folk electronic classic world reggae,114.28,-17.8,0.0,0.0,4,1,273.3
Explode,The Cardigans,twee pop alternative rock indie pop pop rock sweden hard rock guitar jazz group,124.01,-6.85,0.0,0.0,5,1,274.1
Com Una Flama,Ai Ai Ai,rumba catalan harp catalonia barcelona post rock funk rumba catalana european group,91.97,-12.9,0.0,0.0,5,0,254.0
Hindsight,Call To Preserve,straight edge christian hardcore hardcore punk heavy metal united states hardcore christian punk old school hardcore florida,208.17,-2.03,0.0,0.0,5,0,44.3
New Love,Ziggy Marley And The Melody Makers,reggae pop roots reggae island music contemporary reggae political r&b roots guitar singer,129.39,-13.82,0.0,0.0,1,0,261.3
I See The Light (2002 Digital Remaster),Music Explosion,freakbeat british invasion los angeles garage rock psychedelic rock oldies classic rock rock blues united states,124.59,-11.46,0.0,0.0,1,1,155.1
Anything For My Baby,Kiss,hard rock heavy metal rock new york guitar classic heavy glam swing old,139.71,-6.61,0.0,0.0,10,0,154.4
Lovely Day,Lit,post-grunge rap metal pop rock pop punk nu metal power pop ska punk alternative rock modern rock skate punk,135.02,-3.93,0.0,0.0,10,1,246.8
Mohair Locker Room Pin-Up Boys,Adam Ant,pop rock new wave dance rock rock new romantic europop beat british pop louisiana blues gothic rock,82.05,-12.11,0.0,0.0,0,1,226.5
Firestarter,The Prodigy,hardcore techno rave hip hop techno rap england rock electronic beat club dance,94.23,-6.5,0.0,0.0,4,0,225.1
Enslaved By Propaganda,Total Fucking Destruction,experimental rock grindcore hardcore punk progressive metal heavy metal death metal united states punk metal american,178.25,-5.02,0.0,0.0,0,1,132.2
Testify,Phil Collins,soft rock pop rock ballad easy listening classic rock adult contemporary singer-songwriter new romantic rock oldies,85.08,-5.29,0.0,0.0,1,1,392.8
Kaliforn-Eye-A (Feat. Mike Muir),P.o.d,alternative metal rap metal hard rock reggae heavy metal rock punk modern rock rapcore game,96.98,-4.96,0.0,0.0,5,1,267.8
Rakkahin -Be My Love-,Virtuoso,flamenco neoclassical hardcore hip hop cabaret orchestra waltz string vaudeville hip hop rap,123.87,-9.01,0.0,0.0,1,1,155.1
The Climb/Paranoia,The Pharcyde,rap hip hop new wave electro underground hip hop underground rap los angeles alternative rap west coast rap political rap,161.85,-5.18,0.0,0.0,0,0,247.1
Baby's Got A Habit,Joe Lynn Turner,hard rock soft rock neo classical metal heavy metal power metal classic rock doom metal progressive rock rock black metal,122.41,-6.54,0.0,0.0,7,1,239.4
Collide,Howie Day,singer-songwriter soft rock pop rock ballad easy listening modern rock folk rock surf music male vocalist alternative rock,180.07,-12.32,0.0,0.0,10,1,277.0
Amour noir N 7,Michèle Bernard,chanson musette gypsy jazz world music jazz french folk chanson francaise pop world,64.96,-14.29,0.0,0.0,1,0,137.0
Creep Live Version,Maximilian Hecker,chamber pop ballad noise pop deep house electro future jazz shoegaze downtempo folk rock indie rock,70.78,-13.53,0.0,0.0,7,1,330.6
Over The River,Bitty McLean,lovers rock rock steady roots reggae pop rap reggae europop pop rock dub dancehall hip hop,127.6,-10.17,0.0,0.0,0,1,216.2
Need,Tyrone Wells,folk-pop soft rock pop rock modern rock folk rock singer-songwriter emo folk mellow pop,159.9,-7.16,0.0,0.0,8,0,204.6
It Takes A Village (To Raise A Nut) (Live),Tim Wilson,filk comedy spoken word country funny stand-up comedy humorous country pop american georgia,92.75,-8.07,0.0,0.0,9,1,154.3
11th Street,Open Hand,post-grunge art rock post-hardcore stoner rock nu metal emo grunge screamo grindcore dub,156.58,-4.84,0.0,0.0,10,1,278.6
Too Far From The Tree,Angela Lashley,patriotic country pop country pop tennessee,97.79,-14.85,0.0,0.0,2,1,196.2
Tre sonetti di Petrarca: III. I' vidi in terra angelici costumi - sonnet 156,Dennis O'Neill,bel canto symphony opera classical vocal composer italian voice,66.81,-27.91,0.0,0.0,8,1,377.8
Nostalgia,Emilio Tuero,tango mexico,140.35,-14.08,0.0,0.0,0,0,194.2
Everyday,Phil Collins,soft rock pop rock ballad easy listening classic rock adult contemporary singer-songwriter new romantic rock oldies,94.7,-9.81,0.0,0.0,3,1,343.4
Stop!,Joe Bonamassa,blues-rock blues rock hard rock jazz classic cover instrumental soul acoustic,85.4,-9.16,0.0,0.0,4,0,356.0
Dance Of Romance,Knack,british pop chill-out post rock power pop soft rock rockabilly stoner rock grunge garage rock new wave,110.46,-7.74,0.0,0.0,2,1,215.6
Talk Of The Town,Firehouse,glam metal hard rock heavy metal country rock classic rock ballad glam rock grunge soft rock jazz,119.42,-7.35,0.0,0.0,1,1,278.1
Será cuando regreses,Noemí,musica hardstyle rave eurodance blues trance dance funk techno female vocalist,88.3,-10.98,0.0,0.0,0,1,178.2
You Can Make It (Album Version),Douglas Miller,gospel soul jazz jazz black gospel soul contemporary jazz contemporary gospel dance traditional gospel funky,105.96,-10.48,0.0,0.0,0,1,247.1
Electric Phase / Hot 'n' Ready / Pack It Up 'n' Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle,UFO,heavy metal hard rock blues-rock gangster rap happy hardcore space rock instrumental rock hard trance classic rock acid jazz,134.53,-14.4,0.0,0.0,2,1,1819.8
The Story Of An Artist,Daniel Johnston,power pop pop rock soundtrack progressive rock alternative singer-songwriter indie rock folk pop rock,106.93,-12.16,0.0,0.0,0,1,296.5
124 Stomp,Azukx,hardstyle trance techno downtempo gabba hard house hard trance dub electronic grindcore,123.0,-11.93,0.0,0.0,5,1,438.9
One Thing,YZ,hip hop rap trip hop breakbeat downtempo soundtrack jazz electronica rock pop,90.0,-12.84,0.0,0.0,9,1,267.6
Te Vas Angel Mio,Michael Salgado,tejano chorus latin country latin pop los angeles tex mex mariachi reggaeton san antonio,154.16,-7.03,0.0,0.0,7,1,212.6
Denk,Samy Deluxe,hip hop pop rap chill-out dancehall rap reggae germany german german hip hop german rap,164.04,-5.13,0.0,0.0,1,0,237.2
Many Weapons Many Men,Criminal Class USA is Hush Hush Revolution,ghetto tech punk,146.93,-4.86,0.0,0.0,3,1,174.2
Attic Room,Casiotone For The Painfully Alone,trip hop indietronica electro neofolk indie rock folktronica downtempo electronic electropop glitch,99.08,-7.55,0.0,0.0,7,1,188.9
A Movie Of A Placid Lake On A Moonless Night in September,Will Ackerman,chamber jazz chill-out easy listening celtic guitar acoustic new age instrumental beautiful electronica,92.33,-18.89,0.0,0.0,1,0,384.6
Big Trouble Upstairs,Pitch Black,chill-out dub dubstep hip hop thrash metal downtempo drum and bass electronica california melodic death metal,118.93,-12.2,0.0,0.0,2,1,283.3
Siempre,Reptil,rumba los angeles jazz minimal fusion rock mix guitar bass,120.0,-7.01,0.0,0.0,0,1,220.3
Sometimes,Les Rythmes Digitales feat. Nik Kershaw,big beat breakbeat trip hop electro downtempo progressive house electronic tech house disco hip hop,123.83,-4.25,0.0,0.0,2,1,297.5
So Say I,Mr Brown,happy hardcore gabba glam rock electro glitch techno electronic garage rock pop punk hardcore,140.25,-6.02,0.0,0.0,11,1,147.1
La Bruja Chafa,Bobby Pulido,tejano tex mex cumbia latin pop latin spanish american country texas nortena,179.32,-9.04,0.0,0.0,2,1,182.8
The Sound From There,Norman Howard,free jazz improvisational jazz united states los angeles world,53.35,-21.69,0.0,0.0,1,1,417.5
Sing Me Softly of the Blues,Richard Galliano_ Jean-Charles Capon_ Gilles Perrin,tango musette chill-out jazz british pop flamenco vocal house hard bop jazz fusion trip hop,103.69,-19.34,0.0,0.0,9,1,347.6
Here We Go Again,H-Town,new jack swing neo soul r&b rap quiet storm old school hip hop urban ballad club hip hop,99.81,-9.91,0.0,0.0,11,0,238.9
Locked Away,The Gathering,trip rock sympho black metal doom metal gothic metal progressive metal psychedelic rock progressive rock heavy metal death metal alternative rock,91.0,-7.91,0.0,0.0,6,0,203.5
Goin' To The River,Alice Cooper,shock rock glam rock garage rock heavy metal hard rock classic rock rock pop ballad psychedelic rock,140.46,-10.99,0.0,0.0,11,0,210.5
Shout For Joy  (Celtic Psalms Album Version),Eden's Bridge,celtic religious music christian rock folk rock progressive rock folk christian worship music ambient new age,90.12,-13.32,0.0,0.0,2,1,170.7
Min Xechnas (Forse),Dakis,greek,137.29,-10.84,0.0,0.0,4,1,186.9
Splitting The Seconds,Nightswimmer,melbourne london,119.89,-10.78,0.0,0.0,0,1,279.2
Best In LA,Marc Shaiman,soundtrack classical easy listening disco pop rock baroque contemporary modern classical renaissance soul,69.92,-25.36,0.0,0.0,5,0,81.2
La Valse De La Cour (BOF Mayerling),Francis Lai,space age pop samba exotica soundtrack easy listening french pop world music french film music classical,63.99,-10.98,0.0,0.0,7,1,183.9
Dangerously In Love Medley,Beyoncé,hip hop pop rock soul adult contemporary ballad club soundtrack female rap,109.52,-5.58,0.0,0.0,3,0,419.7
Little Sunflower,Alexander Zonjic,jazz funk instrumental pop smooth jazz jazz contemporary jazz electronica pop christmas music united states holiday,113.41,-7.74,0.0,0.0,2,1,259.2
Magiki Vradia,Irini Merkouri,pop folk modern laika greek singer,109.97,-6.32,0.0,0.0,1,1,230.2
Lullaby [With Ladysmith Black Mambazo] (Album Version),Josh Groban,pop rock pop rock adult contemporary classical vocal christmas music classical crossover soundtrack classical pop,91.09,-15.95,0.0,0.0,1,1,152.0
Walk On The Wild Side,Jesse Malin,urban folk new weird america chill-out country rock singer-songwriter space rock folk rock rockabilly power pop alternative rock,88.01,-8.14,0.0,0.0,2,1,238.5
Elsa,Monique Morelli,los angeles cabaret chanson francaise,180.85,-12.96,0.0,0.0,1,1,196.4
Army,Tunsi,hip hop beat underground rap emo rap game crunk urban rock instrumental,84.61,-13.54,0.0,0.0,4,1,12.7
The Court,Zbigniew Preisner,classic rock soundtrack new wave tango chill-out neoclassical rock classical electronic modern classical,35.35,-31.71,0.0,0.0,0,1,63.6
Danny,Billie Jo Spears,classic country motown oldies rockabilly traditional country country pop country united states female vocalist singer-songwriter,65.0,-10.96,0.0,0.0,7,1,124.9
Parallel Universe (Album Version),Red Hot Chili Peppers,rap rock funk metal funk rock heavy metal funk rock alternative rock pop alternative punk,124.92,-2.98,0.0,0.0,0,0,269.3
Take It For Granted,Atomic Rooster,hard rock classic rock blues-rock space rock psychedelic rock rock art rock rock 'n roll symphonic rock country rock,119.98,-13.83,0.0,0.0,9,0,249.9
Ladies And Thugs,DJ Quik,gangster rap hip hop g funk broken beat trip hop hardcore rap west coast rap old school hip hop rap california,94.39,-4.75,0.0,0.0,11,0,227.6
Zephyrus,Bloc Party,indie rock indie rock alternative england dance-punk art rock post rock emo guitar,160.26,-9.24,0.0,0.0,6,1,248.0
Nothing (Album Version),unloco,alternative metal nu metal heavy metal post-grunge folk metal oi power metal post-hardcore pop rock metalcore,126.11,-5.65,0.0,0.0,1,0,163.9
Power Shower,Caspa,dubstep grime jungle music tech house dub glitch breakbeat hip hop rap electronica,93.38,-6.85,0.0,0.0,1,0,272.3
Endless Winter,Earth,grunge stoner metal doom metal drone doom metal experimental rock stoner rock indie rock united states alternative pop rock drone,121.85,-8.57,0.0,0.0,6,0,525.5
Primal Forces,Megadrums,world beat world music saxophone world fusion ethnic world fusion percussion ethnic fusion drums,72.68,-25.52,0.0,0.0,0,1,342.9
Let Me Be the One,Hank Locklin,honky tonk country rock ballad chanson classic country soft rock blues-rock pop rock country blues pop rap,116.28,-12.8,0.0,0.0,7,1,150.3
Wichita Lineman (LP Version),Young-Holt Unlimited,soul jazz jazz funk instrumental rock chicago soul jazz afrobeat funk disco easy listening samba,98.07,-12.77,0.0,0.0,2,0,243.7
Fucked,Less Than Jake,ska punk ska punk metal punk pop punk revival third wave ska revival hard rock funk rock,192.24,-12.56,0.0,0.0,9,1,82.7
The Same Man (For Matthew),Rachel Loy,happy hardcore hard house modern rock uk garage hard trance trance tech house pop indie pop electro,72.21,-8.86,0.0,0.0,7,1,199.9
The Last Man On Earth,Schoolyard Heroes,horror punk alternative metal shock rock opera post-hardcore gothic metal pop punk screamo hardcore punk alternative rock,117.58,-12.83,0.0,0.0,0,1,202.0
The Flight of the serpentarius,Bruno Sanfilippo,chill-out meditation organic ambient space music neoclassical ambient electronic downtempo dark ambient soundtrack,146.01,-23.78,0.0,0.0,7,0,291.1
Focus,DJ Isaac,gabba hardstyle happy hardcore hard house hard trance hardcore techno progressive trance electronic trance rave,172.37,-5.84,0.0,0.0,6,1,497.1
Beni Aglatma,Mustafa Sandal,eurodance world music club heavy metal male vocalist turkish pop singer-songwriter electronica arabic,85.0,-11.77,0.0,0.0,1,0,203.0
No Such Thing As Control (Album Version),Beneath The Sky,death core melodic metalcore deathgrind extreme metal hardcore punk melodic black metal alternative hip hop melodic death metal metalcore brutal death metal,84.16,-4.0,0.0,0.0,8,1,276.0
Another Lover,The Last Vegas,stoner rock rock 'n roll glam rock hard rock punk rock stoner jungle music ballad sleaze rock,179.0,-3.49,0.0,0.0,9,1,237.1
My Baby (Feat. Kanye West),Janet Jackson Featuring Kanye West,dance pop hip hop rock urban pop adult contemporary ballad soundtrack disco funk,191.41,-6.95,0.0,0.0,2,0,257.1
2 + 2 = 5,Radiohead,british pop experimental rock rock england indietronica grunge electronica alternative rock electronic jazz,149.49,-5.64,0.0,0.0,5,0,198.5
Life,Ill Harmonics,hip hop christian hip hop hip pop christian rock rap hard rock ska indie rock conscious alternative rock,88.46,-15.69,0.0,0.0,0,1,72.0
Fear The Sea,The Gathering,trip rock sympho black metal doom metal gothic metal progressive metal psychedelic rock progressive rock heavy metal death metal alternative rock,131.5,-5.82,0.0,0.0,0,1,348.4
I'm Glad,Jennifer Lopez,dance pop pop latin urban latin pop ballad club rap singer vocal,93.95,-5.23,0.0,0.0,5,0,224.4
Judge Harsh Blues (Tk. 1),Furry Lewis,country blues delta blues piedmont blues blues memphis blues east coast blues bluegrass blues-rock chicago blues electric blues,123.11,-15.39,0.0,0.0,6,0,152.0
Famous One,Seventh Day Slumber,christian rock christian alternative rock christian hip hop modern rock christian metal alternative metal nu metal christian music post-grunge ccm,118.62,-5.74,0.0,0.0,5,1,265.8
"Theme From ""Come September"" (LP Version)",Bobby Darin,brill building pop folk rock folk-pop vocal jazz easy listening pop rock rock 'n roll chill-out rock piano blues,108.46,-15.44,0.0,0.0,0,1,155.6
Ma vie n'est pas la tienne (album),Najoua Belyzel,europop eurodance electropop brutal death metal pop rock dance female vocalist electronic singer-songwriter house,112.97,-7.88,0.0,0.0,6,0,237.7
Chanson Populaire,Vincent Baguian,chanson pop los angeles french french pop jungle music disco duo world reggae,88.24,-8.13,0.0,0.0,9,1,167.7
Carolyn & Barnabas,Dark Shadows,psychobilly female vocals,158.39,-22.36,0.0,0.0,1,1,79.8
One Love,David Rose & His Orchestra,orchestra space age pop easy listening jazz oldies instrumental lounge classical pop retro,84.69,-16.88,0.0,0.0,10,1,180.0
Singing  Bowls_Saxophone & Voice,Jane Winther,meditation,76.01,-21.21,0.0,0.0,2,0,329.4
Respect This Hustle (Explicit Album Version),T.I.,gangster rap dirty south rap hip hop rap southern rap georgia soundtrack funk pop energetic,87.53,-4.92,0.0,0.0,1,0,266.8
Cajun Baby (LP Version),Commander Cody And His Lost Planet Airmen,country rock western swing southern rock roots rock rockabilly classic rock funk rock country rock 'n roll,166.53,-3.47,0.0,0.0,2,1,161.9
Leaving The Docks,Zbigniew Preisner,classic rock soundtrack new wave tango chill-out neoclassical rock classical electronic modern classical,120.23,-25.22,0.0,0.0,4,0,87.5
You Don't Belong,Bad Religion,hardcore punk rock punk indie los angeles heavy metal hard rock alternative rock hardcore guitar,166.86,-4.72,0.0,0.0,7,1,169.9
Midnight Jump,Sunnyland Slim,piano blues chicago blues delta blues blues blues-rock country blues harmonica blues louisiana blues cool jazz electric blues,186.51,-18.68,0.0,0.0,7,1,246.0
4 In The Morning,Gwen Stefani,rock pop ballad club grunge disco pop rock electronica singer punk,124.52,-6.8,0.0,0.0,0,1,294.2
Noche De Paz,SUMO,gabba alternative metal electro breakbeat intelligent dance music classic rock deep house dub techno downtempo,105.43,-5.45,0.0,0.0,7,1,127.1
For My People,EPMD,hip hop big beat old school hip hop hardcore rap east coast rap east coast hip hop gangster rap electronica rap blues,186.39,-10.55,0.0,0.0,10,0,188.3
Village Dance,Vana,brazilian jazz hard bop jazz slide blues folk guitar violin africa london,146.61,-9.53,0.0,0.0,7,0,227.1
Ring The Alarm,Naughty By Nature,gangster rap rap east coast rap funk classic pop hardcore funky smooth black,142.82,-6.77,0.0,0.0,7,1,237.0
Just Don't Give A Fuck,Eminem,hip hop rap hardcore rap club soundtrack pop funk underground beats producer,90.18,-2.2,0.0,0.0,1,1,242.6
Que Suene Mi Campana,Sonora Carruseles,salsa latin jazz rumba world music hip hop jazz latin dance world spanish,80.67,-5.88,0.0,0.0,1,1,264.1
Floating,Moist,post-grunge grunge rock 'n roll alternative rock pop rock oldies alternative pop rock classic rock hard rock male vocalist,104.99,-20.87,0.0,0.0,2,0,302.3
Marching,The Zebras,disco pop rock italian disco rock new wave electronic indie pop electro canada indie,151.2,-6.58,0.0,0.0,4,1,131.7
Meeran Sad Laeen Je Toon,Faiz Ali Faiz,qawwali meditation world music world fusion ethnic spiritual vocal traditional intense tff rudolstadt,89.3,-12.8,0.0,0.0,6,1,878.8
1001 Robots,Marco Beltrami,soundtrack electronic modern classical folk rock easy listening classical hip hop ska united states composer,79.86,-18.41,0.0,0.0,6,1,256.4
The Law Gonna Step On You (1931),Bo Carter,delta blues country blues piano blues chicago blues blues piedmont blues texas blues louisiana blues bluegrass rock,116.08,-15.93,0.0,0.0,3,1,162.2
Des Vôtres,Fredericks_ Goldman_ Jones,chanson french chanson francaise acoustic,153.94,-9.98,0.0,0.0,5,1,344.2
All For The Sake Of The Song,Roger Creager,honky tonk country music singer-songwriter country texas americana world fusion contemporary country texas country modern country,80.97,-9.78,0.0,0.0,0,1,277.6
Bitches For Breakfast,Vodka Collins,glam rock blues-rock pop rock power pop rock 70s japan japanese glam 70s rock,151.36,-8.98,0.0,0.0,2,1,119.3
Red Barchetta (feat. James LaBrie_ James Murphey_ Sean Malone_ Sean Reinert & David Townson),Steve Morse,blues-rock instrumental rock hard rock folk rock guitar virtuoso jazz fusion fusion progressive rock jazz rock,154.11,-5.1,0.0,0.0,8,0,342.1
Chiove,Rita Chiarelli,blues female vocalist canadian guitar berlin 90s tex mex modern electric blues rockabilly soundtrack,99.38,-16.11,0.0,0.0,8,1,228.4
Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams),Nicky B_ Naëlle,dancehall reggae roots reggae breakbeat techno hip hop electronic soca los angeles tango,173.97,-5.79,0.0,0.0,7,1,251.6
It Came Upon A Midnight Clear,Cristy Lane,ccm inspirational southern gospel country pop christmas music electro country holiday electronic folk,120.23,-7.95,0.0,0.0,5,1,142.7
Apagon,Estopa,flamenco dance pop rumba brazilian pop music pop rock folk rock rock electronic ambient experimental,146.05,-7.54,0.0,0.0,2,1,185.8
Down South Blues,Sleepy John Estes,country blues delta blues memphis blues piedmont blues blues chicago blues ragtime louisiana blues texas blues smooth jazz,78.5,-18.34,0.0,0.0,11,1,188.3
Looking In Your Eyes,Suicidal Tendencies,hardcore punk heavy metal alternative metal speed metal metalcore skate punk thrash metal funk metal crossover thrash rapcore,166.09,-9.97,0.0,0.0,4,1,167.8
Crazy,Aerosmith,blues-rock heavy metal hard rock pop rock glam rock rock 'n roll classic rock ballad grunge soft rock,232.71,-4.43,0.0,0.0,6,0,318.6
Doin' It,Professor Longhair,louisiana blues new orleans blues piano blues delta blues blues r&b zydeco rock 'n roll boogie-woogie bluegrass,143.29,-13.71,0.0,0.0,7,1,242.3
For All We Know,Glen Ricks,lovers rock roots reggae rock steady dancehall reggae dub raga united states reggae pop world reggae,174.86,-10.63,0.0,0.0,7,0,215.7
Rick's Cafe,Christie Hennessy,deep house chill-out tech house irish folk dub downtempo techno easy listening glitch electronic,143.84,-10.23,0.0,0.0,5,1,246.2
Me Duele,Joe Lopez,blues tejano latin jazz los angeles jazz texas disco instrumental rock americana,161.98,-7.43,0.0,0.0,0,1,199.4
Palavras,Nana Caymmi,brazilian pop music samba bossa nova bolero tropical smooth jazz easy listening disco female vocalist jazz,99.13,-11.64,0.0,0.0,4,0,233.2
